nom_de_l_etablissment,ips_voie_pro,type_de_lycee,secteur,uai,ips_ensemble_gt_pro,code_du_departement,rentree_scolaire,code_insee_de_la_commune,academie,departement,nom_de_la_commune,ips_voie_gt,ecart_type_de_l_ips_voie_pro,ecart_type_de_l_ips_voie_gt
LYCEE PROFESSIONNEL PRIVE LE MARGERIAZ,94.5,LP,privé sous contrat,0730772T,94.5,73,2019-2020,73029,GRENOBLE,SAVOIE,BARBERAZ,,30.0,
LYCEE PROFESSIONNEL PRIVE JEANNE D ARC,82.2,LP,privé sous contrat,0730773U,82.2,73,2019-2020,73011,GRENOBLE,SAVOIE,ALBERTVILLE,,25.9,
LYCEE GENERAL SAINT EXUPERY,,LEGT,public,0731507S,121.5,73,2019-2020,73054,GRENOBLE,SAVOIE,BOURG SAINT MAURICE,121.5,,32.3
LYCEE POLYVALENT CHARLES PONCET LYCEE DES METIERS DE L INDUSTRIE,85.2,LPO,public,0740017S,101.6,74,2019-2020,74081,GRENOBLE,HAUTE SAVOIE,CLUSES,104.2,27.8,35.3
LYCEE PROFESSIONNEL A GORDINI,91.2,LP,public,0740062R,91.2,74,2019-2020,74010,GRENOBLE,HAUTE SAVOIE,ANNECY,,28.7,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE FAMILLE,,LEGT,privé sous contrat,0740092Y,124.3,74,2019-2020,74224,GRENOBLE,HAUTE SAVOIE,LA ROCHE SUR FORON,124.3,,34.9
LYCEE GENERAL PRIVE LA PRESENTATION DE MARIE,,LEGT,privé sous contrat,0740097D,131.0,74,2019-2020,74243,GRENOBLE,HAUTE SAVOIE,SAINT JULIEN EN GENEVOIS,131.0,,31.4
LYCEE GENERAL PRIVE SAINT FRANCOIS,,LEGT,privé sous contrat,0740104L,122.3,74,2019-2020,74305,GRENOBLE,HAUTE SAVOIE,VILLE LA GRAND,122.3,,32.4
LYCEE PROFESSIONNEL PRIVE MONT BLANC,95.8,LP,privé sous contrat,0740155S,95.8,74,2019-2020,74256,GRENOBLE,HAUTE SAVOIE,SALLANCHES,,32.8,
LYCEE POLYVALENT PRIVE DEMOTZ DE LA SALLE,103.7,LPO,privé sous contrat,0741469V,111.6,74,2019-2020,74225,GRENOBLE,HAUTE SAVOIE,RUMILLY,114.1,27.8,30.7
LYCEE PROFESSIONNEL CLAUDE ANTHIME CORBON LYCEE DES METIERS DE LA COMMUNICATION ET DE LA GESTION D ENTREPRISE,80.4,LP,public,0750436S,80.4,75,2019-2020,75115,PARIS,PARIS,PARIS 15E ARRONDISSEMENT,,27.8,
LYCEE POLYVALENT LUCAS DE NEHOU LYCEE DES METIERS DES ARTS DU VERRE ET DES STRUCTURES VERRIERES,101.7,LP,public,0750463W,101.7,75,2019-2020,75114,PARIS,PARIS,PARIS 14E ARRONDISSEMENT,,38.2,
LYCEE PROFESSIONNEL CHARLES DE GAULLE,79.5,LP,public,0750508V,79.5,75,2019-2020,75120,PARIS,PARIS,PARIS 20E ARRONDISSEMENT,,28.2,
LYCEE GENERAL ET TECHNOLOGIQUE CHAPTAL,,LEGT,public,0750663N,132.7,75,2019-2020,75108,PARIS,PARIS,PARIS 8E ARRONDISSEMENT,132.7,,37.4
LYCEE GENERAL PAUL VALERY,,LEGT,public,0750679F,101.0,75,2019-2020,75112,PARIS,PARIS,PARIS 12E ARRONDISSEMENT,101.0,,37.7
LYCEE POLYVALENT BOULLE LYCEE DES METIERS D ART D ARCHITECTURE INTERIEURE ET DU DESIGN,129.1,LPO,public,0750681H,136.3,75,2019-2020,75112,PARIS,PARIS,PARIS 12E ARRONDISSEMENT,141.8,33.6,30.8
LYCEE GENERAL RODIN,,LEGT,public,0750682J,121.7,75,2019-2020,75113,PARIS,PARIS,PARIS 13E ARRONDISSEMENT,121.7,,37.9
LYCEE GENERAL ET TECHNOLOGIQUE PIERRE GILLES DE GENNES,,LEGT,public,0750685M,117.3,75,2019-2020,75113,PARIS,PARIS,PARIS 13E ARRONDISSEMENT,117.3,,39.3
LYCEE GENERAL ET TECHNOLOGIQUE RABELAIS,74.3,LPO,public,0750688R,90.0,75,2019-2020,75118,PARIS,PARIS,PARIS 18E ARRONDISSEMENT,91.1,26.7,34.1
LYCEE GENERAL PAUL BERT,,LEGT,public,0750689S,119.5,75,2019-2020,75114,PARIS,PARIS,PARIS 14E ARRONDISSEMENT,119.5,,39.6
LYCEE GENERAL BUFFON,,LEGT,public,0750693W,133.6,75,2019-2020,75115,PARIS,PARIS,PARIS 15E ARRONDISSEMENT,133.6,,36.5
LYCEE GENERAL CAMILLE SEE,,LEGT,public,0750694X,123.5,75,2019-2020,75115,PARIS,PARIS,PARIS 15E ARRONDISSEMENT,123.5,,38.3
LYCEE POLYVALENT FRESNEL LYCEE DES METIERS DE L OPTIQUE,90.0,LPO,public,0750695Y,98.0,75,2019-2020,75115,PARIS,PARIS,PARIS 15E ARRONDISSEMENT,101.3,31.4,36.5
LYCEE TECHNOLOGIQUE BATIMENT SAINT LAMBERT,,LEGT,public,0750697A,94.8,75,2019-2020,75119,PARIS,PARIS,PARIS 19E ARRONDISSEMENT,94.8,,35.7
LYCEE GENERAL ET TECHNOLOGIQUE HONORE DE BALZAC,,LEGT,public,0750705J,116.4,75,2019-2020,75117,PARIS,PARIS,PARIS 17E ARRONDISSEMENT,116.4,,41.4
LYCEE GENERAL ET TECHNOLOGIQUE HENRI BERGSON (A ABSORBE L'UAI 0750713T EN 2019),,LEGT,public,0750711R,99.5,75,2019-2020,75119,PARIS,PARIS,PARIS 19E ARRONDISSEMENT,99.5,,36.8
LYCEE GENERAL ET TECHNOLOGIQUE MAURICE RAVEL,,LEGT,public,0750715V,118.6,75,2019-2020,75120,PARIS,PARIS,PARIS 20E ARRONDISSEMENT,118.6,,39.7
LYCEE PROFESSIONNEL TURQUETIL LYCEE DES METIERS DE LA MODE,85.0,LP,public,0750778N,85.0,75,2019-2020,75111,PARIS,PARIS,PARIS 11E ARRONDISSEMENT,,31.6,
LYCEE PROFESSIONNEL BEAUGRENELLE LYCEE DES METIERS DE LA COMMUNICATION ET DE LA GESTION D ENTREPRISE,82.5,LP,public,0750793E,82.5,75,2019-2020,75115,PARIS,PARIS,PARIS 15E ARRONDISSEMENT,,27.2,
LYCEE PROFESSIONNEL SUZANNE VALADON,78.0,LP,public,0752109K,78.0,75,2019-2020,75118,PARIS,PARIS,PARIS 18E ARRONDISSEMENT,,28.3,
LYCEE PRIVE BETH YACOV,,LEGT,privé sous contrat,0753384W,91.1,75,2019-2020,75120,PARIS,PARIS,PARIS 20E ARRONDISSEMENT,91.1,,33.1
ECOLE ALSACIENNE (LYCEE GENERAL PRIVE),,LEGT,privé sous contrat,0753647G,146.6,75,2019-2020,75106,PARIS,PARIS,PARIS 6E ARRONDISSEMENT,146.6,,24.3
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LES PETITS CHAMPS,,LEGT,privé sous contrat,0753815P,145.2,75,2019-2020,75119,PARIS,PARIS,PARIS 19E ARRONDISSEMENT,145.2,,23.6
ENSEIGNEMENT PRIVE STANISLAS (ECOLE SECONDAIRE PRIVEE),,LEGT,privé sous contrat,0753840S,146.9,75,2019-2020,75106,PARIS,PARIS,PARIS 6E ARRONDISSEMENT,146.9,,23.9
INSTITUT PRIVE DE L ALMA (ECOLE SECONDAIRE PRIVEE ),,LEGT,privé sous contrat,0753849B,146.7,75,2019-2020,75107,PARIS,PARIS,PARIS 7E ARRONDISSEMENT,146.7,,22.2
LYCEE GENERAL PRIVE NOTRE DAME DE FRANCE,,LEGT,privé sous contrat,0753902J,142.1,75,2019-2020,75113,PARIS,PARIS,PARIS 13E ARRONDISSEMENT,142.1,,28.0
LYCEE GENERAL PRIVE SAINTE ELISABETH,,LEGT,privé sous contrat,0753916Z,137.5,75,2019-2020,75115,PARIS,PARIS,PARIS 15E ARRONDISSEMENT,137.5,,26.3
LYCEE POLYVALENT PRIVE SAINT NICOLAS,114.6,LPO,privé sous contrat,0754025T,121.6,75,2019-2020,75106,PARIS,PARIS,PARIS 6E ARRONDISSEMENT,129.7,36.1,31.6
LYCEE PRIVE SAINTE LOUISE,,LEGT,privé sous contrat,0755709Y,128.0,75,2019-2020,75120,PARIS,PARIS,PARIS 20E ARRONDISSEMENT,128.0,,30.6
LYCEE PROFESSIONNEL EMULATION DIEPPOISE,83.0,LP,public,0760024N,83.0,76,2019-2020,76217,ROUEN,SEINE MARITIME,DIEPPE,,29.4,
LYCEE POLYVALENT FERDINAND BUISSON LYCEE DES METIERS DE LA CHIMIE ET DE L AUTOMATISME,81.5,LPO,public,0760030V,101.3,76,2019-2020,76231,ROUEN,SEINE MARITIME,ELBEUF,112.2,27.9,34.9
LYCEE POLYVALENT PORTE OCEANE,70.9,LPO,public,0760054W,80.9,76,2019-2020,76351,ROUEN,SEINE MARITIME,LE HAVRE,84.9,24.8,31.7
LYCEE GENERAL ET TECHNOLOGIQUE JEANNE D ARC,,LEGT,public,0760091L,123.3,76,2019-2020,76540,ROUEN,SEINE MARITIME,ROUEN,123.3,,37.2
LYCEE PROFESSIONNEL GUSTAVE FLAUBERT,81.9,LP,public,0760142S,81.9,76,2019-2020,76540,ROUEN,SEINE MARITIME,ROUEN,,30.0,
LYCEE GENERAL ET TECHNOLOGIQUE CLAUDE MONET,,LEGT,public,0760174B,94.9,76,2019-2020,76351,ROUEN,SEINE MARITIME,LE HAVRE,94.9,,34.8
LYCEE PROFESSIONNEL CLAUDE MONET,78.7,LP,public,0761322Z,78.7,76,2019-2020,76351,ROUEN,SEINE MARITIME,LE HAVRE,,26.8,
LYCEE POLYVALENT PRIVE PROVIDENCE SAINTE THERESE LYCEE DES METIERS DES SERVICES AUX PERSONNES ET AUX ENTREPRISES,95.0,LPO,privé sous contrat,0761356L,95.5,76,2019-2020,76540,ROUEN,SEINE MARITIME,ROUEN,98.0,31.4,30.7
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE FENELON,,LEGT,privé sous contrat,0761708U,121.0,76,2019-2020,76231,ROUEN,SEINE MARITIME,ELBEUF,121.0,,32.0
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA PROVIDENCE,,LEGT,privé sous contrat,0761713Z,116.3,76,2019-2020,76429,ROUEN,SEINE MARITIME,LE MESNIL ESNARD,116.3,,36.2
LYCEE GENERAL ET TECHNOLOGIQUE VAL DE SEINE,,LEGT,public,0761742F,100.1,76,2019-2020,76322,ROUEN,SEINE MARITIME,LE GRAND QUEVILLY,100.1,,34.2
LYCEE POLYVALENT EDOUARD DELAMARE DEBOUTTEVILLE,88.6,LPO,public,0762600N,105.8,76,2019-2020,76276,ROUEN,SEINE MARITIME,FORGES LES EAUX,109.8,26.4,33.4
LYCEE PROFESSIONNEL DES 4 CANTONS GRIEU LYCEE DES METIERS DE LA MAINTENANCE ET DE L INFORMATION NUMERIQUE,83.0,LP,public,0762602R,83.0,76,2019-2020,76540,ROUEN,SEINE MARITIME,ROUEN,,28.5,
LYCEE PROFESSIONNEL ANTOINE LAURENT LAVOISIER LYCEE DES METIERS DES VEHICULES AUTOMOBILES ET DU TRANSPORT LOGISTIQUE,76.7,LP,public,0762765T,76.7,76,2019-2020,76351,ROUEN,SEINE MARITIME,LE HAVRE,,23.5,
LYCEE POLYVALENT LE CORBUSIER LYCEE DES METIERS DU BATIMENT DES TRAVAUX PUBLICS DE L ENERGIE ET DE LA DOMOTIQUE,76.9,LPO,public,0762964J,78.8,76,2019-2020,76575,ROUEN,SEINE MARITIME,SAINT ETIENNE DU ROUVRAY,90.7,27.2,31.5
LYCEE POLYVALENT DU GOLF,79.8,LPO,public,0763002A,84.2,76,2019-2020,76217,ROUEN,SEINE MARITIME,DIEPPE,91.6,25.2,28.1
LYCEE GENERAL ET TECHNOLOGIQUE JEAN PAUL II,,LEGT,privé sous contrat,0763409T,137.0,76,2019-2020,76540,ROUEN,SEINE MARITIME,ROUEN,137.0,,31.3
LYCEE POLYVALENT PRIVE SAINT VINCENT DE PAUL (A ABSORBE L'UAI 0761349D EN 2019),91.4,LPO,privé sous contrat,0763500S,92.3,76,2019-2020,76351,ROUEN,SEINE MARITIME,LE HAVRE,104.0,37.5,33.8
LYCEE POLYVALENT DE COULOMMIERS,87.0,LPO,public,0770924L,101.1,77,2019-2020,77131,CRETEIL,SEINE-ET-MARNE,COULOMMIERS,109.2,27.4,33.5
LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS COUPERIN,,LEGT,public,0770926N,127.5,77,2019-2020,77186,CRETEIL,SEINE-ET-MARNE,FONTAINEBLEAU,127.5,,33.2
LYCEE GENERAL INTERNATIONAL FRANCOIS 1ER,,LEGT,public,0770927P,137.4,77,2019-2020,77186,CRETEIL,SEINE-ET-MARNE,FONTAINEBLEAU,137.4,,31.2
LYCEE GENERAL ET TECHNOLOGIQUE PIERRE DE COUBERTIN,,LEGT,public,0770931U,111.2,77,2019-2020,77284,CRETEIL,SEINE-ET-MARNE,MEAUX,111.2,,34.0
LYCEE GENERAL ET TECHNOLOGIQUE JACQUES AMYOT,,LEGT,public,0770933W,110.4,77,2019-2020,77288,CRETEIL,SEINE-ET-MARNE,MELUN,110.4,,36.5
LYCEE POLYVALENT THIBAUT DE CHAMPAGNE,83.4,LPO,public,0770942F,98.2,77,2019-2020,77379,CRETEIL,SEINE-ET-MARNE,PROVINS,101.6,23.7,31.5
LYCEE PROFESSIONNEL AUGUSTE PERDONNET,88.1,LP,public,0770944H,88.1,77,2019-2020,77464,CRETEIL,SEINE-ET-MARNE,THORIGNY SUR MARNE,,29.7,
LYCEE GENERAL BOSSUET,,LEGT,privé sous contrat,0771246L,125.6,77,2019-2020,77284,CRETEIL,SEINE-ET-MARNE,MEAUX,125.6,,32.0
LYCEE GENERAL ET TECHNOLOGIQUE VAN DONGEN,,LEGT,public,0771512A,118.5,77,2019-2020,77243,CRETEIL,SEINE-ET-MARNE,LAGNY SUR MARNE,118.5,,37.1
LYCEE POLYVALENT DU GUE A TRESMES LYCEE DES METIERS DE L HOTELLERIE ET RESTAURATION / DES ARTS ET DESIGN / DE L AMENAGEMENT ET FINITION DU BATIMENT,94.7,LPO,public,0771658J,101.7,77,2019-2020,77126,CRETEIL,SEINE-ET-MARNE,CONGIS SUR THEROUANNE,118.7,31.8,33.3
LYCEE POLYVALENT PRIVE MAURICE RONDEAU LYCEE DES METIERS DE L ELECTRONIQUE ET DE LA MAINTENANCE,119.2,LPO,privé sous contrat,0772275E,131.4,77,2019-2020,77058,CRETEIL,SEINE-ET-MARNE,BUSSY SAINT GEORGES,137.1,30.0,27.5
LYCEE POLYVALENT MARTIN LUTHER KING,,LEGT,public,0772292Y,123.7,77,2019-2020,77058,CRETEIL,SEINE-ET-MARNE,BUSSY SAINT GEORGES,123.7,,33.6
LYCEE POLYVALENT LA TOUR DES DAMES,99.3,LPO,public,0772295B,114.0,77,2019-2020,77393,CRETEIL,SEINE-ET-MARNE,ROZAY EN BRIE,117.6,32.2,31.3
LYCEE POLYVALENT SIMONE SIGNORET,84.4,LPO,public,0772310T,109.7,77,2019-2020,77487,CRETEIL,SEINE-ET-MARNE,VAUX LE PENIL,119.4,27.7,34.3
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE CAMPUS SAINTE THERESE,,LEGT,privé sous contrat,0772324H,133.8,77,2019-2020,77350,CRETEIL,SEINE-ET-MARNE,OZOIR LA FERRIERE,133.8,,30.9
LYCEE POLYVALENT CLEMENT ADER,91.8,LPO,public,0772342C,109.2,77,2019-2020,77470,CRETEIL,SEINE-ET-MARNE,TOURNAN EN BRIE,120.9,30.2,32.6
LYCEE PROFESSIONNEL PRIVE NOTRE DAME DU GRANDCHAMP,120.0,LP,privé sous contrat,0781582W,120.0,78,2019-2020,78646,VERSAILLES,YVELINES,VERSAILLES,,40.3,
LYCEE POLYVALENT JEAN MONNET LYCEE DES METIERS DE LA VENTE ET DE LA GESTION,114.1,LPO,public,0781839A,134.5,78,2019-2020,78513,VERSAILLES,YVELINES,LA QUEUE LES YVELINES,137.5,32.2,30.1
LYCEE POLYVALENT SEDAR SENGHOR,88.7,LPO,public,0781951X,105.1,78,2019-2020,78354,VERSAILLES,YVELINES,MAGNANVILLE,110.2,29.8,35.6
LYCEE PROFESSIONNEL ADRIENNE BOLLAND LYCEE DES METIERS DES ARTS DU BOIS DES SERVICES ET DE LA MODE,87.0,LP,public,0781983G,87.0,78,2019-2020,78498,VERSAILLES,YVELINES,POISSY,,31.2,
LYCEE GENERAL ET TECHNOLOGIQUE SAINT EXUPERY,,LEGT,public,0782539L,98.5,78,2019-2020,78361,VERSAILLES,YVELINES,MANTES LA JOLIE,98.5,,36.4
LYCEE GENERAL ET TECHNOLOGIQUE EVARISTE GALOIS,,LEGT,public,0782924E,120.6,78,2019-2020,78586,VERSAILLES,YVELINES,SARTROUVILLE,120.6,,37.0
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JEAN ET HULST,,LEGT,privé sous contrat,0783350T,150.1,78,2019-2020,78646,VERSAILLES,YVELINES,VERSAILLES,150.1,,22.7
LYCEE GENERAL ET TECHNOLOGIQUE JOSEPH DESFONTAINES,,LEGT,public,0790019S,111.1,79,2019-2020,79174,POITIERS,DEUX-SEVRES,MELLE,111.1,,33.5
LYCEE GENERAL ET TECHNOLOGIQUE JEAN MACE,,LEGT,public,0790023W,120.6,79,2019-2020,79191,POITIERS,DEUX-SEVRES,NIORT,120.6,,35.1
LYCEE PROFESSIONNEL PAUL GUERIN,90.0,LP,public,0790043T,90.0,79,2019-2020,79191,POITIERS,DEUX-SEVRES,NIORT,,31.1,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT CHARLES,,LEGT,privé sous contrat,0790058J,106.1,79,2019-2020,79329,POITIERS,DEUX-SEVRES,THOUARS,106.1,,32.6
LYCEE PROFESSIONNEL LES GRIPPEAUX,85.5,LP,public,0790090U,85.5,79,2019-2020,79202,POITIERS,DEUX-SEVRES,PARTHENAY,,26.0,
LYCEE PROFESSIONNEL SIMONE SIGNORET,79.8,LP,public,0790702J,79.8,79,2019-2020,79049,POITIERS,DEUX-SEVRES,BRESSUIRE,,26.3,
LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE BOUCHER DE PERTHES,,LEGT,public,0800001S,101.2,80,2019-2020,80001,AMIENS,SOMME,ABBEVILLE,101.2,,34.8
LYCEE POLYVALENT LAMARCK LYCEE DES METIERS,79.0,LPO,public,0800007Y,94.9,80,2019-2020,80016,AMIENS,SOMME,ALBERT,102.0,25.9,34.7
LYCEE D ENSEIGNEMENT TECHNOLOGIQUE EDOUARD GAND,,LEGT,public,0800011C,92.1,80,2019-2020,80021,AMIENS,SOMME,AMIENS,92.1,,31.6
LYCEE PROFESSIONNEL DE L AUTHIE LYCEE DES METIERS,76.3,LP,public,0800065L,76.3,80,2019-2020,80253,AMIENS,SOMME,DOULLENS,,23.1,
LYCEE PROFESSIONNEL ROMAIN ROLLAND LYCEE DES METIERS DU TERTIAIRE ET DE LA SECURITE,72.4,LP,public,0801628K,72.4,80,2019-2020,80021,AMIENS,SOMME,AMIENS,,23.6,
LYCEE GENERAL ET TECHNOLOGIQUE JEAN BAPTISTE DELAMBRE,,LEGT,public,0801700N,87.2,80,2019-2020,80021,AMIENS,SOMME,AMIENS,87.2,,36.4
LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE DE L AUTHIE,,LEGT,public,0801900F,98.5,80,2019-2020,80253,AMIENS,SOMME,DOULLENS,98.5,,34.0
LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DES ENERGIES NOUVELLES ET DU NUMERIQUE,98.5,LP,privé sous contrat,0801946F,98.5,80,2019-2020,80021,AMIENS,SOMME,AMIENS,,34.4,
LYCEE PROFESSIONNEL PRIVE SAINT MARTIN LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION,95.1,LP,privé sous contrat,0801948H,95.1,80,2019-2020,80021,AMIENS,SOMME,AMIENS,,31.2,
LYCEE PROFESSIONNEL PRIVE SAINT RIQUIER,97.2,LP,privé sous contrat,0801949J,97.2,80,2019-2020,80021,AMIENS,SOMME,AMIENS,,26.0,
LYCEE PROFESSIONNEL TOULOUSE LAUTREC LYCEE DES METIERS DES SERVICES A LA PERSONNE ET A L ENTREPRISE,86.5,LP,public,0810003N,86.5,81,2019-2020,81004,TOULOUSE,TARN,ALBI,,29.3,
LYCEE GENERAL LAPEROUSE,64.7,LPO,public,0810006S,128.3,81,2019-2020,81004,TOULOUSE,TARN,ALBI,128.6,2.3,35.4
LYCEE GENERAL PRIVE SAINT JOSEPH DE L APPARITION,,LEGT,privé sous contrat,0810075S,113.9,81,2019-2020,81099,TOULOUSE,TARN,GAILLAC,113.9,,36.7
LYCEE PROFESSIONNEL PRIVE DE LA SALLE LYCEE DES METIERS DE L ENERGIE ELECTRIQUE DE L ELECTRONIQUE NUMERIQUE ET DE LA MAINTENANCE,96.0,LP,privé sous contrat,0810105Z,96.0,81,2019-2020,81065,TOULOUSE,TARN,CASTRES,,32.1,
LYCEE GENERAL FRANCOIS MITTERRAND,,LEGT,public,0820016X,103.8,82,2019-2020,82112,TOULOUSE,TARN-ET-GARONNE,MOISSAC,103.8,,35.5
LYCEE GENERAL ET TECHNOLOGIQUE BOURDELLE,,LEGT,public,0820021C,106.3,82,2019-2020,82121,TOULOUSE,TARN-ET-GARONNE,MONTAUBAN,106.3,,36.0
LYCEE PROFESSIONNEL PRIVE THEAS,100.0,LP,privé sous contrat,0820061W,100.0,82,2019-2020,82121,TOULOUSE,TARN-ET-GARONNE,MONTAUBAN,,34.3,
LYCEE POLYVALENT RAYNOUARD,90.9,LPO,public,0830007G,106.3,83,2019-2020,83023,NICE,VAR,BRIGNOLES,110.0,29.9,33.7
LYCEE GENERAL ET TECHNOLOGIQUE JEAN AICARD,,LEGT,public,0830025B,111.3,83,2019-2020,83069,NICE,VAR,HYERES,111.3,,34.9
LYCEE PROFESSIONNEL GEORGES CISSON LYCEE DES METIERS DE L AUTOMOBILE ET DE L ELECTRICITE,90.9,LP,public,0830058M,90.9,83,2019-2020,83137,NICE,VAR,TOULON,,31.3,
LYCEE GENERAL PRIVE SAINTE MARIE,,LEGT,privé sous contrat,0830095C,123.4,83,2019-2020,83126,NICE,VAR,LA SEYNE SUR MER,123.4,,32.4
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH,,LEGT,privé sous contrat,0830098F,127.5,83,2019-2020,83090,NICE,VAR,OLLIOULES,127.5,,33.6
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME,,LEGT,privé sous contrat,0830100H,113.1,83,2019-2020,83137,NICE,VAR,TOULON,113.1,,32.9
LYCEE POLYVALENT PRIVE MAINTENON,111.2,LPO,privé sous contrat,0830101J,127.4,83,2019-2020,83069,NICE,VAR,HYERES,131.2,29.9,31.6
LYCEE POLYVALENT PAUL LANGEVIN LYCEE DES METIERS DE L INDUSTRIE,91.5,LPO,public,0830923C,114.1,83,2019-2020,83126,NICE,VAR,LA SEYNE SUR MER,121.5,32.8,34.6
LYCEE TECHNOLOGIQUE PRIVE MARIE FRANCE,,LEGT,privé sous contrat,0831207L,113.5,83,2019-2020,83137,NICE,VAR,TOULON,113.5,,32.3
LYCEE POLYVALENT PRIVE SAINTE JEANNE D ARC,101.3,LPO,privé sous contrat,0831444U,118.2,83,2019-2020,83023,NICE,VAR,BRIGNOLES,125.3,32.9,31.2
LYCEE POLYVALENT COSTEBELLE,99.0,LPO,public,0831563Y,118.8,83,2019-2020,83069,NICE,VAR,HYERES,123.4,30.5,32.9
LYCEE POLYVALENT,85.7,LPO,public,0840001V,103.9,84,2019-2020,84003,AIX-MARSEILLE,VAUCLUSE,APT,110.2,30.6,35.3
LYCEE GENERAL ET TECHNOLOGIQUE THEODORE AUBANEL,,LEGT,public,0840004Y,107.4,84,2019-2020,84007,AIX-MARSEILLE,VAUCLUSE,AVIGNON,107.4,,38.4
LYCEE GENERAL ET TECHNOLOGIQUE PHILIPPE DE GIRARD,,LEGT,public,0840005Z,88.2,84,2019-2020,84007,AIX-MARSEILLE,VAUCLUSE,AVIGNON,88.2,,36.7
LYCEE POLYVALENT JEAN HENRI FABRE,86.6,LPO,public,0840015K,107.4,84,2019-2020,84031,AIX-MARSEILLE,VAUCLUSE,CARPENTRAS,111.6,31.7,36.4
LYCEE GENERAL ET TECHNOLOGIQUE VICTOR HUGO,,LEGT,public,0840016L,101.8,84,2019-2020,84031,AIX-MARSEILLE,VAUCLUSE,CARPENTRAS,101.8,,36.4
LYCEE PROFESSIONNEL DOMAINE D EGUILLES LYCEE DES METIERS DU BATIMENT DES TRAVAUX PUBLICS ET DE LA MAINTENANCE DES SYSTEMES,89.7,LP,public,0840039L,89.7,84,2019-2020,84141,AIX-MARSEILLE,VAUCLUSE,VEDENE,,31.1,
LYCEE PROFESSIONNEL MARIA CASARES LYCEE DES METIERS DES SERVICES AUX ENTREPRISES DE LA COIFFURE ET DE L ESTHETIQUE,72.6,LP,public,0840041N,72.6,84,2019-2020,84007,AIX-MARSEILLE,VAUCLUSE,AVIGNON,,24.7,
LYCEE PROFESSIONNEL ARISTIDE BRIAND LYCEE DES METIERS DES SERVICES AUX PERSONNES ET AUX ENTREPRISES,78.6,LP,public,0840046U,78.6,84,2019-2020,84087,AIX-MARSEILLE,VAUCLUSE,ORANGE,,28.5,
LYCEE GENERAL PRIVE MARIE PILA,,LEGT,privé sous contrat,0840078D,124.1,84,2019-2020,84031,AIX-MARSEILLE,VAUCLUSE,CARPENTRAS,124.1,,33.8
LYCEE GENERAL ET TECHNOLOGIQUE LUCIE AUBRAC,,LEGT,public,0841093G,105.5,84,2019-2020,84019,AIX-MARSEILLE,VAUCLUSE,BOLLENE,105.5,,36.7
LYCEE GENERAL ET TECHNOLOGIQUE GEORGES CLEMENCEAU,,LEGT,public,0850006V,98.9,85,2019-2020,85051,NANTES,VENDEE,CHANTONNAY,98.9,,32.1
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEAN XXIII,,LEGT,privé sous contrat,0850076W,114.8,85,2019-2020,85109,NANTES,VENDEE,LES HERBIERS,114.8,,33.3
LYCEE PROFESSIONNEL ST MICHEL,97.7,LP,privé sous contrat,0851516L,97.7,85,2019-2020,85238,NANTES,VENDEE,SAINT LAURENT SUR SEVRE,,32.7,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT FRANCOIS D ASSISE,,LEGT,privé sous contrat,0851642Y,123.3,85,2019-2020,85191,NANTES,VENDEE,LA ROCHE SUR YON,123.3,,35.6
LYCEE PROFESSIONNEL EDOUARD BRANLY,88.2,LP,public,0860006P,88.2,86,2019-2020,86066,POITIERS,VIENNE,CHATELLERAULT,,29.0,
LYCEE POLYVALENT PRIVE ST JACQUES DE COMPOSTELLE LYCEE DES METIERS AU SERVICE DES ORGANISATIONS ET DES PERSONNES,95.1,LPO,privé sous contrat,0860774Z,98.4,86,2019-2020,86194,POITIERS,VIENNE,POITIERS,103.8,30.8,32.2
LYCEE PROFESSIONNEL LE VERGER LYCEE DES METIERS DE L ELECTROTECHNIQUE ET DE LA MAINTENANCE,84.8,LP,public,0861113T,84.8,86,2019-2020,86066,POITIERS,VIENNE,CHATELLERAULT,,29.6,
LYCEE POLYVALENT KYOTO,90.7,LPO,public,0861408N,98.2,86,2019-2020,86194,POITIERS,VIENNE,POITIERS,113.3,31.6,31.7
LYCEE PROFESSIONNEL GEORGE SAND,82.5,LP,public,0870013S,82.5,87,2019-2020,87059,LIMOGES,HAUTE-VIENNE,LE DORAT,,26.4,
